instance;ltime;;maxscore;minscore;avgscore;;maxcpu;mincpu;avgcpu;;nshift;nswap;nldr;nsdr
Set2b_E-n51-k5-s2-4-17-46.dat;0.171875;;653.957;597.938;629.055;;1.39062;0.609375;1.08594;;0;0;0;0
Set3_E-n22-k4-s17-19.dat;0.046875;;520.797;512.805;514.803;;0.0625;0.03125;0.0429688;;0;0;0;0
Set3_E-n51-k5-s39-41.dat;0.109375;;774.83;739.962;762.416;;1.57812;0.65625;1.02734;;0;0;0;0
Set4b_Instance50-24.dat;0.046875;;132995;130482;131466;;1.67188;1.09375;1.32422;;0;0;0;0
Set5_100-5-2b.dat;0.15625;;906.167;869.215;884.744;;16.2969;8.57812;11.4766;;0;0;0;0
