instance;ltime;;maxscore;minscore;avgscore;;maxcpu;mincpu;avgcpu;;nshift;nswap;nldr;nsdr
Set2b_E-n51-k5-s32-37.dat;0.09375;;685;616;655;;1.03125;0.734375;0.90625;;0;0;0;0
Set5_100-5-1.dat;0.203125;;1706;1679;1692.33;;8.04688;5.85938;6.81771;;0;0;0;0
Set5_200-10-1.dat;0.265625;;1724;1723;1723.33;;55.5156;49.125;51.526;;0;0;0;0
